Name;Full name;Data type;Description and valuation
tolazamide;Tolazamide prescribed;Factor;Indicates whether the drug was prescribed or there was a change in dosage. Values: "up" if the dosage was increased, "down" if the dosage was decreased, "steady" if there was no change in dosage, and "No" if the drug was not prescribed.
examide;Examide prescribed;Factor;Indicates whether the drug was prescribed or there was a change in dosage. Values: "up" if the dosage was increased, "down" if the dosage was decreased, "steady" if there was no change in dosage, and "No" if the drug was not prescribed.
citoglipton;Citoglipton prescribed;Factor;Indicates whether the drug was prescribed or there was a change in dosage. Values: "up" if the dosage was increased, "down" if the dosage was decreased, "steady" if there was no change in dosage, and "No" if the drug was not prescribed.
insulin;Insulin prescribed;Factor;Indicates whether the drug was prescribed or there was a change in dosage. Values: "up" if the dosage was increased, "down" if the dosage was decreased, "steady" if there was no change in dosage, and "No" if the drug was not prescribed.
glyburide-metformin;Glyburide-metformin prescribed;Factor;Indicates whether the drug was prescribed or there was a change in dosage. Values: "up" if the dosage was increased, "down" if the dosage was decreased, "steady" if there was no change in dosage, and "No" if the drug was not prescribed.
glipizide-metformin;Glipizide-metaformin prescribed;Factor;Indicates whether the drug was prescribed or there was a change in dosage. Values: "up" if the dosage was increased, "down" if the dosage was decreased, "steady" if there was no change in dosage, and "No" if the drug was not prescribed.
glimepiride-pioglitazone;Glimepiride-pioglitazone prescribed;Factor;Indicates whether the drug was prescribed or there was a change in dosage. Values: "up" if the dosage was increased, "down" if the dosage was decreased, "steady" if there was no change in dosage, and "No" if the drug was not prescribed.
metformin-pioglitazone;Metformin-pioglitazone prescribed;Factor;Indicates whether the drug was prescribed or there was a change in dosage. Values: "up" if the dosage was increased, "down" if the dosage was decreased, "steady" if there was no change in dosage, and "No" if the drug was not prescribed.
change;Change of medications;Factor;Indicates if medication was changed, with values: 'Change' or 'No change'.
diabetesMed;Diabetes medication;Factor;Indicates if diabetes medication was prescribed, with values: 'Yes' and 'No'.
readmitted;Readmitted;Factor;Days to inpatient readmission, with values: "<30" if the patient was readmitted in less than 30 days, ">30" if the patient was readmitted in more than 30 days, and 'NO' for no record of readmission.
